run_id,research_question,method,seed,model_id,model_family,model_params_m,timestamp_start,timestamp_end,status,config_file,metrics_file,promptset_version,dataset_tier,notes
gpt2_pilot_baseline_s0,RQ0,baseline,0,gpt2,gpt2,124,2026-01-30T18:58:51.338465Z,2026-01-30T22:01:17.351952Z,completed,configs/methods/baseline.yaml,experiments/runs/gpt2_pilot_baseline_s0/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Infrastructure pilot - validate pipeline
gpt2_rq1_baseline_s42,RQ1,baseline,42,gpt2,gpt2,124,2026-02-01T19:39:46.895584Z,2026-02-01T23:00:03.626137Z,completed,configs/methods/baseline.yaml,experiments/runs/gpt2_rq1_baseline_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Baseline forgetting measurement
gpt2_rq1_baseline_s123,RQ1,baseline,123,gpt2,gpt2,124,2026-02-02T00:02:43.058180Z,2026-02-02T03:13:05.455322Z,completed,configs/methods/baseline.yaml,experiments/runs/gpt2_rq1_baseline_s123/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Baseline forgetting - second seed
gpt2_rq2_replay25_s42,RQ2,replay25,42,gpt2,gpt2,124,2026-02-06T22:37:03.465633Z,2026-02-07T01:36:38.160915Z,completed,configs/methods/replay25.yaml,experiments/runs/gpt2_rq2_replay25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Replay 25% mitigation
gpt2_rq2_mer25_s42,RQ2,mer25,42,gpt2,gpt2,124,2026-02-07T01:50:14.198397Z,2026-02-07T04:50:31.947827Z,completed,configs/methods/mer25.yaml,experiments/runs/gpt2_rq2_mer25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),MER-lite (replay + Reptile)
gpt2_rq2_ewc_s42,RQ2,ewc,42,gpt2,gpt2,124,2026-02-07T15:13:29.695153Z,2026-02-07T18:23:01.458721Z,completed,configs/methods/ewc.yaml,experiments/runs/gpt2_rq2_ewc_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),EWC (Fisher fix) - re-run with sum reduction
gpt2_smoke_baseline_s1,SMOKE,baseline,1,gpt2,gpt2,124,2026-02-12T03:59:58.500080Z,2026-02-12T04:02:03.779036Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/gpt2_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
gpt2_smoke_replay25_s1,SMOKE,replay25,1,gpt2,gpt2,124,2026-02-12T04:03:31.490282Z,2026-02-12T04:05:36.982540Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/gpt2_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
gpt2_smoke_ewc_s1,SMOKE,ewc,1,gpt2,gpt2,124,2026-02-12T04:05:50.212048Z,2026-02-12T04:08:11.104079Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/gpt2_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
gpt2_smoke_mer25_s1,SMOKE,mer25,1,gpt2,gpt2,124,2026-02-12T04:11:56.609477Z,2026-02-12T04:14:02.202264Z,completed,configs/smoke/mer25_smoke.yaml,experiments/runs/gpt2_smoke_mer25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
qwen3_smoke_baseline_s1,SMOKE,baseline,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T04:16:09.643506Z,2026-02-12T04:24:30.357900Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/qwen3_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
qwen3_smoke_replay25_s1,SMOKE,replay25,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T04:26:12.966655Z,2026-02-12T04:34:45.074931Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/qwen3_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 new run with ppl_batch_size=1
qwen3_smoke_ewc_s1,SMOKE,ewc,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T04:49:50.594278Z,2026-02-12T05:14:17.139991Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/qwen3_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 new run; Fisher OOM fixed with streaming stats
qwen3_smoke_mer25_s1,SMOKE,mer25,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T05:14:49.675817Z,2026-02-12T05:23:16.518362Z,completed,configs/smoke/mer25_smoke.yaml,experiments/runs/qwen3_smoke_mer25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 new run with ppl_batch_size=1
gemma3_smoke_baseline_s1,SMOKE,baseline,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T02:16:11.260620Z,2026-02-12T02:29:52.983501Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/gemma3_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test (ppl_batch_size=1)
llama3_smoke_baseline_s1,SMOKE,baseline,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-12T02:41:09.493457Z,2026-02-12T02:51:52.384064Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/llama3_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test (ppl_batch_size=1)
gemma3_smoke_replay25_s1,SMOKE,replay25,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T06:39:52.684103Z,2026-02-12T06:53:41.593467Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/gemma3_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test
gemma3_smoke_ewc_s1,SMOKE,ewc,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T07:00:02.560326Z,2026-02-12T09:34:44.887438Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/gemma3_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),EWC pre-optimization (old code); 2.58h total
gemma3_smoke_mer25_s1,SMOKE,mer25,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T09:48:46.468529Z,2026-02-12T10:03:14.092281Z,completed,configs/smoke/mer25_smoke.yaml,experiments/runs/gemma3_smoke_mer25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test
llama3_smoke_replay25_s1,SMOKE,replay25,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-12T10:13:45.791546Z,2026-02-12T10:23:59.684354Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/llama3_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test
llama3_smoke_ewc_s1,SMOKE,ewc,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-12T10:29:30.099510Z,2026-02-12T11:35:36.320286Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/llama3_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),EWC with optimized penalty (new code); 1.1h total
